  2.4236E-01,  1.5597E+00,  3.4533E+01,  3.4207E+01,  3.3885E+01,  3.3608E+01,  3.3333E+01,  3.3144E+01,  3.2955E+01,  3.2621E+01,  3.1635E+01,  3.1373E+01,  3.1113E+01,  3.0722E+01,  3.0336E+01,  2.9822E+01,  2.9317E+01,  2.8850E+01,  2.7439E+01,  2.6799E+01,  2.6310E+01,  2.5626E+01,  2.5038E+01,  2.4463E+01,  2.3156E+01,  2.1499E+01,  1.5744E+01,  5.7023E+00,  2.0653E+00,  0.0000E+00,  0.0000E+00
  2.5208E-01,  1.6915E+00,  1.2438E+01,  1.2415E+01,  1.2391E+01,  1.2279E+01,  1.2169E+01,  1.2045E+01,  1.1923E+01,  1.1810E+01,  1.1488E+01,  1.1456E+01,  1.1423E+01,  1.1185E+01,  1.0953E+01,  1.0697E+01,  1.0447E+01,  1.0357E+01,  9.8481E+00,  9.6625E+00,  9.2935E+00,  8.6432E+00,  7.8435E+00,  7.1177E+00,  6.2930E+00,  5.4152E+00,  3.2707E+00,  1.3500E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6154E-01,  1.8565E+00,  2.5986E+00,  2.5669E+00,  2.5355E+00,  2.4843E+00,  2.4342E+00,  2.4342E+00,  2.4342E+00,  2.4342E+00,  2.3718E+00,  2.2140E+00,  2.0667E+00,  2.0647E+00,  2.0626E+00,  2.0234E+00,  1.9849E+00,  1.9433E+00,  1.7983E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7062E-01,  2.0623E+00,  2.4969E+00,  2.4061E+00,  2.3187E+00,  2.1472E+00,  1.9885E+00,  1.9885E+00,  1.9885E+00,  1.9287E+00,  1.7701E+00,  1.3305E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7924E-01,  2.3185E+00,  9.0980E+00,  8.3347E+00,  7.6354E+00,  6.7506E+00,  5.9683E+00,  5.3652E+00,  4.8231E+00,  4.4641E+00,  3.5568E+00,  2.8396E+00,  2.2670E+00,  1.4449E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8737E-01,  2.6405E+00,  1.9693E+02,  1.7315E+02,  1.5224E+02,  1.1472E+02,  8.6454E+01,  6.8966E+01,  5.5016E+01,  4.4637E+01,  2.5339E+01,  1.2633E+01,  6.2988E+00,  1.5658E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.9500E-01,  3.0523E+00,  5.9742E+04,  4.5051E+04,  3.3972E+04,  1.8985E+04,  1.0609E+04,  6.6210E+03,  4.1319E+03,  2.8457E+03,  1.0715E+03,  3.5660E+02,  1.1868E+02,  3.1902E+01,  8.5754E+00,  3.9170E+00,  1.7892E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.0214E-01,  3.5883E+00,  9.0078E+04,  5.8111E+04,  3.7489E+04,  1.9164E+04,  9.7961E+03,  5.8096E+03,  3.4454E+03,  2.2173E+03,  6.8875E+02,  1.8398E+02,  4.9146E+01,  1.0434E+01,  2.2150E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.0881E-01,  4.3040E+00,  7.7031E+03,  5.8256E+03,  4.4058E+03,  2.6561E+03,  1.6013E+03,  1.0242E+03,  6.5510E+02,  4.2538E+02,  1.1850E+02,  1.9329E+01,  3.1528E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  3.1505E-01,  5.2827E+00,  3.2082E+04,  1.0754E+04,  3.6047E+03,  5.1173E+02,  7.2647E+01,  1.4718E+01,  2.9818E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
